SCIENTIFIC NAME,TRADE NAME,INDICATION,ICD 10 CODE
ALFACALCIDOL,ALFACALCIDOL 2 MCG/ML-VOL 0.5ML INJ-1'S(N),VITAMIN D DEFICIENCY,E55
ALFACALCIDOL,ALFACALCIDOL 2 MCG/ML-VOL 0.5ML INJ-1'S(N),HYPOPARATHYROIDISM,E20.9
ALPROSTADIL,ALPROSTADIL (Dual Chamber Syringe) 20 MCG INJ 1'S (N),RAYNAUD'S SYNDROME,I73.0
ALPROSTADIL,ALPROSTADIL (Dual Chamber Syringe) 20 MCG INJ 1'S (N),ERECTILE DYSFUNCTION,N52
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),Septic Shock,"R57.2, R65.21"
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),Pyogenic Arthritis,M00
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),HUMAN IMMUNODEFICIENCY VIRUS,B20
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),ACUTE EXACERBATION OF BRONCHIECTASIS (NON-CYSTIC FIBROSIS),J47
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),OSTEOMYELITIS,M86
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),RECURRENT URINARY TRACT INFECTIONS (UTI),"N39.0, Z87.4"
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),ENDOCARDITIS,I33.0
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),HOSPITAL AND VENTILATER ACQUIRED PNEUMONIA,"J18.9, J95. 851"
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),PERITONITIS,K65
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),TRAVEL RELATED INFECTIONS-TREATMENT,"B06, B50, B51, B52, B53, B54, B55, B26, A00, A01.0, A39, A83.0, A95, A97, J09, J11, B34.2, B97.2, A35, A36, A37.0, A20, A92, A80, A27, A15, A16, A22"
